Period,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Moscow Oblast,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Moscow,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Leningrad Oblast,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Saint Petersburg,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Kursk Oblast
17836,0.72,0.83,0.72,0.73,0.75,0.77,0.68,0.71,0.7,0.75,0.79,0.71,0.79,0.79,0.82,0.68,0.65,0.75,0.77,0.74,0.79,0.71,0.7,0.68,0.82,0.77,0.78,0.74,0.87,0.78,0.77,0.71,0.81,0.83,0.79,0.74,0.71,0.82,0.71,0.76,0.74,0.74,0.82,0.72,0.67,0.7,0.71,0.75,0.78,0.6,0.88,0.7,0.64,0.73,0.78,0.7,0.74,0.67,0.68,0.69,0.77,0.7,0.76,0.79,0.73,0.75,0.81,0.78,0.7,0.66,0.83,0.7,0.67,0.77,0.77,0.71,0.69,0.76,0.78,0.8,0.77
17866,0.75,0.87,0.76,0.77,0.77,0.8,0.73,0.76,0.74,0.76,0.79,0.72,0.78,0.82,0.89,0.71,0.66,0.76,0.74,0.77,0.82,0.7,0.72,0.71,0.88,0.8,0.79,0.77,0.81,0.77,0.77,0.76,0.83,0.78,0.76,0.78,0.72,0.88,0.74,0.81,0.83,0.77,0.78,0.76,0.7,0.75,0.75,0.8,0.8,0.62,0.81,0.72,0.71,0.76,0.79,0.7,0.78,0.67,0.74,0.66,0.7,0.7,0.77,0.67,0.78,0.8,0.76,0.59,0.55,0.59,0.84,0.63,0.71,0.75,0.83,0.75,0.74,0.77,0.82,0.77,0.78
17897,0.78,0.89,0.75,0.78,0.79,0.81,0.74,0.74,0.72,0.76,0.8,0.75,0.79,0.79,0.87,0.73,0.66,0.75,0.75,0.76,0.83,0.67,0.73,0.7,0.87,0.78,0.81,0.77,0.83,0.78,0.78,0.73,0.83,0.78,0.77,0.76,0.71,0.84,0.71,0.83,0.82,0.81,0.83,0.76,0.71,0.74,0.73,0.76,0.82,0.6,0.86,0.74,0.67,0.73,0.83,0.71,0.81,0.7,0.76,0.69,0.76,0.74,0.79,0.71,0.78,0.81,0.74,0.63,0.6,0.59,0.85,0.66,0.71,0.78,0.83,0.74,0.7,0.79,0.8,0.81,0.82
17928,0.75,0.85,0.72,0.76,0.77,0.79,0.7,0.73,0.72,0.74,0.78,0.73,0.79,0.78,0.85,0.7,0.63,0.74,0.74,0.75,0.82,0.69,0.72,0.69,0.82,0.77,0.78,0.75,0.82,0.76,0.76,0.73,0.82,0.78,0.78,0.75,0.73,0.82,0.74,0.81,0.8,0.78,0.88,0.79,0.73,0.75,0.75,0.78,0.85,0.61,0.91,0.75,0.65,0.71,0.79,0.67,0.79,0.7,0.75,0.71,0.79,0.72,0.83,0.69,0.74,0.78,0.77,0.65,0.63,0.62,0.84,0.63,0.72,0.78,0.82,0.74,0.68,0.76,0.83,0.82,0.78
17956,0.76,0.91,0.73,0.78,0.76,0.8,0.72,0.74,0.72,0.77,0.83,0.75,0.83,0.81,0.86,0.73,0.67,0.78,0.74,0.77,0.84,0.68,0.71,0.7,0.83,0.79,0.8,0.78,0.83,0.77,0.77,0.76,0.82,0.76,0.79,0.75,0.75,0.85,0.76,0.8,0.8,0.79,0.83,0.81,0.75,0.78,0.77,0.8,0.86,0.65,0.92,0.77,0.65,0.74,0.84,0.69,0.79,0.73,0.77,0.71,0.76,0.77,0.82,0.68,0.76,0.78,0.82,0.64,0.6,0.62,0.84,0.66,0.76,0.8,0.83,0.75,0.69,0.8,0.83,0.82,0.8
17987,0.81,0.95,0.73,0.78,0.77,0.84,0.72,0.74,0.74,0.78,0.83,0.79,0.84,0.8,0.85,0.76,0.69,0.8,0.81,0.77,0.86,0.82,0.75,0.71,0.87,0.81,0.85,0.79,0.9,0.84,0.78,0.76,0.83,0.84,0.87,0.77,0.77,0.89,0.79,0.82,0.79,0.8,0.87,0.8,0.76,0.78,0.8,0.82,0.87,0.66,0.96,0.74,0.68,0.77,0.77,0.71,0.79,0.71,0.76,0.74,0.81,0.77,0.85,0.72,0.75,0.78,0.81,0.74,0.57,0.66,0.89,0.7,0.76,0.83,0.85,0.76,0.72,0.8,0.84,0.8,0.8
18017,0.68,0.74,0.68,0.68,0.67,0.7,0.65,0.65,0.65,0.67,0.69,0.68,0.71,0.74,0.77,0.63,0.58,0.67,0.68,0.66,0.74,0.68,0.65,0.65,0.75,0.68,0.67,0.66,0.72,0.67,0.68,0.68,0.68,0.66,0.66,0.67,0.66,0.75,0.65,0.65,0.73,0.69,0.66,0.68,0.65,0.66,0.63,0.7,0.73,0.55,0.77,0.6,0.62,0.63,0.66,0.61,0.71,0.62,0.66,0.61,0.67,0.69,0.69,0.42,0.7,0.7,0.71,0.43,0.4,0.59,0.74,0.56,0.67,0.69,0.7,0.67,0.67,0.67,0.72,0.72,0.69
18048,0.62,0.68,0.65,0.64,0.61,0.62,0.6,0.59,0.6,0.62,0.63,0.62,0.63,0.71,0.74,0.56,0.53,0.61,0.6,0.6,0.67,0.56,0.59,0.58,0.7,0.64,0.59,0.59,0.65,0.62,0.64,0.63,0.62,0.59,0.58,0.62,0.61,0.7,0.6,0.6,0.69,0.64,0.5,0.61,0.6,0.61,0.57,0.66,0.66,0.49,0.54,0.53,0.57,0.59,0.65,0.56,0.66,0.59,0.61,0.49,0.57,0.58,0.58,0.33,0.65,0.66,0.59,0.36,0.36,0.49,0.69,0.49,0.61,0.66,0.64,0.62,0.63,0.61,0.68,0.73,0.65
18078,0.61,0.69,0.63,0.63,0.61,0.62,0.59,0.58,0.58,0.61,0.64,0.6,0.64,0.73,0.76,0.57,0.54,0.61,0.6,0.58,0.67,0.57,0.58,0.57,0.66,0.63,0.58,0.59,0.65,0.61,0.62,0.59,0.61,0.6,0.56,0.6,0.6,0.68,0.59,0.6,0.68,0.63,0.5,0.6,0.59,0.59,0.59,0.62,0.65,0.48,0.61,0.54,0.56,0.58,0.61,0.56,0.62,0.59,0.6,0.47,0.55,0.57,0.58,0.4,0.65,0.65,0.57,0.39,0.4,0.49,0.69,0.47,0.59,0.66,0.65,0.62,0.62,0.59,0.66,0.72,0.63
18109,0.74,0.9,0.74,0.75,0.73,0.76,0.7,0.7,0.7,0.72,0.75,0.7,0.78,0.81,0.83,0.7,0.64,0.71,0.72,0.71,0.81,0.74,0.7,0.66,0.81,0.75,0.76,0.7,0.83,0.77,0.75,0.71,0.79,0.79,0.75,0.72,0.71,0.81,0.73,0.74,0.76,0.79,0.75,0.74,0.72,0.73,0.7,0.74,0.79,0.57,0.83,0.71,0.63,0.7,0.75,0.68,0.73,0.69,0.71,0.64,0.71,0.7,0.76,0.74,0.74,0.76,0.74,0.66,0.64,0.62,0.86,0.64,0.69,0.78,0.78,0.71,0.67,0.72,0.73,0.81,0.77
18140,0.8,0.92,0.77,0.8,0.79,0.81,0.73,0.76,0.75,0.77,0.83,0.74,0.84,0.84,0.88,0.74,0.68,0.77,0.78,0.77,0.85,0.74,0.73,0.69,0.86,0.79,0.82,0.76,0.85,0.8,0.81,0.75,0.84,0.83,0.8,0.76,0.74,0.85,0.77,0.86,0.8,0.83,0.89,0.81,0.78,0.8,0.76,0.8,0.88,0.63,1,0.76,0.65,0.74,0.81,0.72,0.79,0.74,0.75,0.76,0.83,0.76,0.85,0.78,0.79,0.8,0.82,0.79,0.72,0.65,0.88,0.74,0.74,0.84,0.87,0.75,0.69,0.78,0.81,0.87,0.81
18170,0.75,0.87,0.74,0.77,0.78,0.8,0.72,0.74,0.72,0.73,0.78,0.71,0.8,0.8,0.86,0.72,0.67,0.75,0.73,0.75,0.82,0.71,0.7,0.67,0.83,0.77,0.79,0.74,0.83,0.77,0.76,0.71,0.84,0.8,0.74,0.73,0.72,0.83,0.74,0.85,0.77,0.77,0.86,0.78,0.74,0.76,0.71,0.76,0.84,0.62,1.08,0.73,0.63,0.71,0.83,0.7,0.78,0.7,0.74,0.69,0.79,0.72,0.81,0.68,0.77,0.76,0.77,0.64,0.61,0.61,0.83,0.73,0.71,0.79,0.82,0.72,0.67,0.77,0.79,0.8,0.77
18201,0.77,0.88,0.75,0.77,0.77,0.81,0.71,0.76,0.74,0.77,0.82,0.75,0.84,0.82,0.85,0.72,0.7,0.79,0.82,0.79,0.84,0.75,0.75,0.7,0.86,0.79,0.8,0.75,0.89,0.82,0.81,0.73,0.85,0.88,0.83,0.74,0.74,0.85,0.76,0.84,0.76,0.79,0.86,0.79,0.76,0.78,0.73,0.78,0.87,0.64,1,0.74,0.65,0.75,0.83,0.71,0.79,0.71,0.75,0.75,0.78,0.73,0.82,0.76,0.78,0.78,0.85,0.81,0.72,0.69,0.89,0.74,0.74,0.81,0.83,0.74,0.69,0.81,0.8,0.84,0.78
18231,0.8,0.91,0.81,0.82,0.8,0.83,0.78,0.81,0.77,0.79,0.82,0.77,0.82,0.82,0.94,0.76,0.7,0.79,0.74,0.79,0.83,0.72,0.75,0.74,0.91,0.84,0.84,0.75,0.86,0.8,0.83,0.77,0.86,0.84,0.8,0.79,0.76,0.9,0.79,0.83,0.85,0.81,0.82,0.81,0.78,0.79,0.73,0.79,0.89,0.63,0.85,0.74,0.69,0.78,0.87,0.7,0.84,0.72,0.79,0.7,0.72,0.76,0.83,0.6,0.84,0.83,0.8,0.6,0.57,0.6,0.86,0.68,0.76,0.8,0.86,0.78,0.75,0.79,0.84,0.83,0.81
18262,0.77,0.88,0.78,0.78,0.78,0.79,0.75,0.78,0.76,0.77,0.81,0.75,0.82,0.79,0.89,0.73,0.67,0.78,0.77,0.77,0.84,0.67,0.72,0.71,0.89,0.79,0.8,0.73,0.83,0.79,0.8,0.73,0.82,0.8,0.77,0.74,0.73,0.87,0.75,0.86,0.8,0.82,0.82,0.81,0.79,0.8,0.74,0.78,0.9,0.63,0.81,0.78,0.64,0.72,0.86,0.69,0.83,0.72,0.79,0.67,0.73,0.76,0.83,0.71,0.82,0.79,0.75,0.65,0.59,0.58,0.85,0.67,0.72,0.8,0.84,0.75,0.71,0.79,0.79,0.81,0.81
18293,0.72,0.85,0.72,0.75,0.72,0.76,0.71,0.73,0.7,0.73,0.79,0.71,0.79,0.74,0.83,0.69,0.65,0.75,0.72,0.73,0.77,0.65,0.7,0.68,0.83,0.75,0.78,0.7,0.8,0.75,0.74,0.72,0.79,0.81,0.75,0.7,0.72,0.84,0.74,0.81,0.75,0.76,0.8,0.78,0.74,0.76,0.7,0.76,0.85,0.61,0.82,0.74,0.63,0.72,0.84,0.65,0.79,0.69,0.77,0.7,0.71,0.7,0.81,0.55,0.77,0.73,0.7,0.62,0.56,0.57,0.79,0.59,0.71,0.75,0.8,0.72,0.69,0.75,0.78,0.78,0.76
18322,0.74,0.82,0.77,0.79,0.75,0.76,0.73,0.77,0.76,0.76,0.81,0.73,0.76,0.78,0.8,0.74,0.71,0.74,0.73,0.74,0.77,0.67,0.74,0.73,0.78,0.77,0.77,0.76,0.79,0.81,0.76,0.75,0.84,0.81,0.76,0.75,0.75,0.84,0.82,0.82,0.77,0.78,0.83,0.79,0.75,0.79,0.73,0.78,0.8,0.73,0.79,0.79,0.64,0.77,0.84,0.69,0.76,0.72,0.77,0.76,0.72,0.73,0.84,0.48,0.75,0.74,0.7,0.61,0.49,0.58,0.74,0.75,0.72,0.76,0.82,0.74,0.73,0.81,0.78,0.73,0.75
18353,0.79,0.75,0.81,0.81,0.75,0.75,0.77,0.78,0.75,0.76,0.8,0.75,0.8,0.78,0.81,0.8,0.69,0.76,0.8,0.76,0.82,0.75,0.78,0.69,0.84,0.84,0.8,0.74,0.97,0.94,0.8,0.73,0.94,0.81,0.85,0.78,0.82,0.88,0.73,0.91,0.78,0.86,0.73,0.8,0.8,0.8,0.78,0.8,0.87,0.68,0.96,0.84,0.63,0.79,0.83,0.67,0.8,0.7,0.76,0.73,0.83,0.77,0.97,0.46,0.74,0.75,0.69,0.62,0.53,0.54,0.89,0.61,0.77,0.82,0.87,0.74,0.69,0.82,0.76,0.78,0.81
18383,0.72,0.8,0.73,0.74,0.72,0.74,0.7,0.72,0.72,0.72,0.73,0.75,0.75,0.76,0.83,0.68,0.64,0.73,0.76,0.73,0.76,0.68,0.71,0.7,0.77,0.75,0.73,0.67,0.76,0.74,0.75,0.72,0.77,0.73,0.72,0.7,0.71,0.83,0.71,0.69,0.8,0.74,0.72,0.7,0.74,0.69,0.64,0.75,0.76,0.62,0.81,0.68,0.65,0.72,0.74,0.6,0.76,0.64,0.73,0.67,0.68,0.68,0.75,0.66,0.73,0.75,0.7,0.53,0.61,0.58,0.8,0.63,0.71,0.72,0.73,0.7,0.72,0.76,0.75,0.73,0.75
18414,0.65,0.73,0.67,0.68,0.67,0.68,0.62,0.62,0.65,0.64,0.62,0.66,0.65,0.71,0.75,0.6,0.54,0.64,0.64,0.64,0.69,0.56,0.64,0.63,0.69,0.66,0.6,0.59,0.66,0.65,0.69,0.64,0.7,0.63,0.61,0.63,0.64,0.69,0.63,0.61,0.72,0.67,0.54,0.62,0.65,0.6,0.56,0.64,0.68,0.52,0.57,0.58,0.59,0.65,0.65,0.54,0.64,0.6,0.64,0.54,0.54,0.6,0.62,0.44,0.69,0.69,0.65,0.49,0.6,0.55,0.72,0.55,0.62,0.66,0.64,0.62,0.67,0.65,0.67,0.7,0.68
18444,0.61,0.66,0.64,0.65,0.63,0.65,0.6,0.59,0.6,0.61,0.62,0.62,0.63,0.68,0.74,0.59,0.51,0.63,0.61,0.59,0.68,0.56,0.6,0.58,0.66,0.62,0.57,0.57,0.65,0.62,0.63,0.62,0.66,0.6,0.59,0.6,0.61,0.67,0.6,0.59,0.67,0.62,0.53,0.61,0.64,0.62,0.55,0.61,0.68,0.52,0.6,0.56,0.55,0.61,0.62,0.56,0.61,0.6,0.59,0.51,0.53,0.58,0.6,0.47,0.65,0.67,0.61,0.47,0.5,0.53,0.68,0.52,0.6,0.66,0.64,0.6,0.61,0.6,0.64,0.7,0.64
18475,0.7,0.83,0.73,0.75,0.72,0.75,0.7,0.7,0.71,0.7,0.73,0.7,0.75,0.78,0.81,0.7,0.63,0.74,0.7,0.7,0.78,0.67,0.7,0.67,0.77,0.72,0.74,0.67,0.79,0.76,0.73,0.69,0.83,0.75,0.73,0.68,0.71,0.77,0.71,0.74,0.73,0.75,0.76,0.74,0.74,0.73,0.66,0.72,0.8,0.61,0.79,0.76,0.59,0.68,0.76,0.67,0.72,0.68,0.69,0.69,0.68,0.72,0.79,0.74,0.73,0.75,0.73,0.69,0.69,0.63,0.83,0.66,0.69,0.78,0.79,0.66,0.65,0.71,0.73,0.79,0.76
18506,0.71,0.84,0.74,0.77,0.73,0.74,0.71,0.72,0.69,0.73,0.79,0.71,0.81,0.8,0.79,0.72,0.76,0.76,0.74,0.73,0.76,0.7,0.7,0.65,0.82,0.73,0.78,0.68,0.78,0.76,0.78,0.71,0.8,0.8,0.76,0.69,0.71,0.78,0.69,0.8,0.72,0.75,0.81,0.78,0.76,0.76,0.68,0.75,0.86,0.63,0.9,0.78,0.58,0.69,0.78,0.68,0.75,0.72,0.72,0.72,0.75,0.73,0.84,0.73,0.74,0.75,0.77,0.77,0.67,0.6,0.84,0.65,0.7,0.78,0.77,0.69,0.65,0.75,0.76,0.82,0.75
18536,0.7,0.82,0.71,0.75,0.73,0.7,0.71,0.72,0.7,0.69,0.78,0.66,0.79,0.75,0.78,0.72,0.63,0.74,0.71,0.7,0.74,0.67,0.68,0.67,0.79,0.82,0.75,0.7,0.8,0.77,0.72,0.71,0.82,0.74,0.74,0.71,0.7,0.81,0.72,0.8,0.71,0.73,0.78,0.75,0.74,0.73,0.66,0.74,0.82,0.68,0.89,0.75,0.58,0.66,0.78,0.68,0.76,0.7,0.69,0.65,0.75,0.75,0.8,0.65,0.72,0.72,0.66,0.63,0.56,0.53,0.76,0.63,0.71,0.76,0.83,0.67,0.63,0.75,0.76,0.79,0.73
18567,0.76,0.88,0.75,0.78,0.77,0.73,0.72,0.75,0.75,0.75,0.83,0.73,0.83,0.8,0.8,0.7,0.69,0.79,0.85,0.74,0.83,0.75,0.74,0.7,0.87,0.79,0.79,0.74,0.89,0.86,0.81,0.75,0.87,0.86,0.82,0.72,0.76,0.85,0.76,0.88,0.72,0.76,0.88,0.82,0.79,0.79,0.71,0.77,0.92,0.66,1.01,0.81,0.62,0.73,0.83,0.71,0.8,0.74,0.74,0.77,0.82,0.78,0.87,0.77,0.73,0.76,0.87,0.82,0.7,0.67,0.86,0.75,0.76,0.83,0.86,0.71,0.67,0.81,0.8,0.85,0.82
18597,0.79,0.9,0.79,0.81,0.81,0.78,0.77,0.8,0.83,0.76,0.79,0.75,0.81,0.8,0.89,0.78,0.69,0.79,0.79,0.76,0.8,0.74,0.74,0.74,0.88,0.84,0.79,0.76,0.87,0.82,0.83,0.79,0.9,0.83,0.81,0.77,0.78,0.9,0.8,0.91,0.79,0.78,0.84,0.8,0.79,0.8,0.72,0.81,0.86,0.64,0.86,0.77,0.66,0.76,0.87,0.7,0.85,0.75,0.79,0.72,0.72,0.78,0.85,0.65,0.81,0.82,0.73,0.61,0.58,0.62,0.86,0.69,0.78,0.79,0.87,0.74,0.71,0.79,0.83,0.83,0.81
