
Call:
lm(formula = formula, data = region_year_data)

Residuals:
     Min       1Q   Median       3Q      Max 
factor(Region)Samara Oblast                          6.92553    0.15089  45.896  < 2e-16 ***
factor(Region)Saratov Oblast                         6.31767    0.15089  41.868  < 2e-16 ***
factor(Region)Smolensk Oblast                        5.27236    0.15089  34.941  < 2e-16 ***
factor(Region)Stavropol Krai                         4.98649    0.15089  33.046  < 2e-16 ***
factor(Region)Sverdlovsk Oblast                      7.11186    0.15089  47.131  < 2e-16 ***
factor(Region)Tambov Oblast                          4.55779    0.15089  30.205  < 2e-16 ***
factor(Region)The Kabardino-Balkar Republic          3.97363    0.15089  26.334  < 2e-16 ***
factor(Region)Tomsk District                         6.84158    0.15089  45.340  < 2e-16 ***
factor(Region)Tula Oblast                            6.38064    0.15089  42.285  < 2e-16 ***
factor(Region)Tver Oblast                            5.50096    0.15089  36.456  < 2e-16 ***
factor(Region)Tyumen Oblast                          8.05635    0.15089  53.391  < 2e-16 ***
factor(Region)Tyva Republic                          5.42475    0.15089  35.951  < 2e-16 ***
factor(Region)Udmurt Republic                        5.28888    0.15089  35.050  < 2e-16 ***
factor(Region)Ulyanovsk Oblast                       4.61953    0.15089  30.614  < 2e-16 ***
factor(Region)Vladimir Oblast                        5.88707    0.15089  39.015  < 2e-16 ***
factor(Region)Volgograd Oblast                       5.29970    0.15089  35.122  < 2e-16 ***
factor(Region)Vologda Oblast                         5.50326    0.15089  36.471  < 2e-16 ***
factor(Region)Voronezh Oblast                        6.44273    0.15089  42.697  < 2e-16 ***
factor(Region)Yamalo-Nenets Autonomous Okrug         6.15166    0.15089  40.768  < 2e-16 ***
factor(Region)Yaroslavl Oblast                       5.03110    0.15089  33.342  < 2e-16 ***
factor(Region)Zabaykalsky Krai                       3.66307    0.15089  24.276  < 2e-16 ***
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1

Residual standard error: 0.2582 on 160 degrees of freedom
Multiple R-squared:  0.9987,	Adjusted R-squared:  0.998 
F-statistic:  1468 on 83 and 160 DF,  p-value: < 2.2e-16

