"Country","Year","Month","Variable","Value"
"Kyrgyzstan",2012,9,"GDP billion currency units",91.71
"Kyrgyzstan",2012,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2012,9,"Household consumption billion currency units",90.72
"Kyrgyzstan",2012,9,"Consumption as percent of GDP",98.92
"Kyrgyzstan",2012,9,"Consumption growth",25.06
"Kyrgyzstan",2012,9,"Investment billion currency units",27.22
"Kyrgyzstan",2012,9,"Investment as percent of GDP",29.68
"Kyrgyzstan",2012,9,"Investment growth",17.43
"Kyrgyzstan",2012,9,"Government expenditure billion currency units",15.47
"Kyrgyzstan",2012,12,"GDP billion currency units",95.25
"Kyrgyzstan",2012,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2012,12,"Household consumption billion currency units",84.32
"Kyrgyzstan",2012,12,"Consumption as percent of GDP",88.52
"Kyrgyzstan",2012,12,"Consumption growth",14.25
"Kyrgyzstan",2012,12,"Investment billion currency units",34.87
"Kyrgyzstan",2012,12,"Investment as percent of GDP",36.61
"Kyrgyzstan",2012,12,"Investment growth",52.69
"Kyrgyzstan",2012,12,"Government expenditure billion currency units",19.11
"Kyrgyzstan",2013,3,"GDP billion currency units",62.5
"Kyrgyzstan",2013,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2013,3,"Household consumption billion currency units",67.8
"Kyrgyzstan",2013,3,"Consumption as percent of GDP",108.49
"Kyrgyzstan",2013,3,"Consumption growth",21.12
"Kyrgyzstan",2013,3,"Investment billion currency units",15.15
"Kyrgyzstan",2013,3,"Investment as percent of GDP",24.24
"Kyrgyzstan",2013,3,"Investment growth",5.96
"Kyrgyzstan",2013,3,"Government expenditure billion currency units",11.56
"Kyrgyzstan",2013,6,"GDP billion currency units",76.8
"Kyrgyzstan",2013,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2013,6,"Household consumption billion currency units",77.16
"Kyrgyzstan",2013,6,"Consumption as percent of GDP",100.47
"Kyrgyzstan",2013,6,"Consumption growth",16.16
"Kyrgyzstan",2013,6,"Investment billion currency units",22.6
"Kyrgyzstan",2013,6,"Investment as percent of GDP",29.43
"Kyrgyzstan",2013,6,"Investment growth",7.25
"Kyrgyzstan",2013,6,"Government expenditure billion currency units",18.43
"Kyrgyzstan",2013,9,"GDP billion currency units",102.95
"Kyrgyzstan",2013,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2013,9,"Household consumption billion currency units",107.7
"Kyrgyzstan",2013,9,"Consumption as percent of GDP",104.61
"Kyrgyzstan",2013,9,"Consumption growth",18.72
"Kyrgyzstan",2013,9,"Investment billion currency units",29.3
"Kyrgyzstan",2013,9,"Investment as percent of GDP",28.46
"Kyrgyzstan",2013,9,"Investment growth",7.62
"Kyrgyzstan",2013,9,"Government expenditure billion currency units",14.73
"Kyrgyzstan",2013,12,"GDP billion currency units",107.79
"Kyrgyzstan",2013,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2013,12,"Household consumption billion currency units",92.63
"Kyrgyzstan",2013,12,"Consumption as percent of GDP",85.93
"Kyrgyzstan",2013,12,"Consumption growth",9.86
"Kyrgyzstan",2013,12,"Investment billion currency units",37.98
"Kyrgyzstan",2013,12,"Investment as percent of GDP",35.24
"Kyrgyzstan",2013,12,"Investment growth",8.91
"Kyrgyzstan",2013,12,"Government expenditure billion currency units",20.83
"Kyrgyzstan",2014,3,"GDP billion currency units",69.45
"Kyrgyzstan",2014,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2014,3,"Household consumption billion currency units",71.67
"Kyrgyzstan",2014,3,"Consumption as percent of GDP",103.2
"Kyrgyzstan",2014,3,"Consumption growth",5.71
"Kyrgyzstan",2014,3,"Investment billion currency units",19.3
"Kyrgyzstan",2014,3,"Investment as percent of GDP",27.79
"Kyrgyzstan",2014,3,"Investment growth",27.41
"Kyrgyzstan",2014,3,"Government expenditure billion currency units",12.78
"Kyrgyzstan",2014,6,"GDP billion currency units",84.32
"Kyrgyzstan",2014,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2014,6,"Household consumption billion currency units",82.6
"Kyrgyzstan",2014,6,"Consumption as percent of GDP",97.96
"Kyrgyzstan",2014,6,"Consumption growth",7.06
"Kyrgyzstan",2014,6,"Investment billion currency units",25.98
"Kyrgyzstan",2014,6,"Investment as percent of GDP",30.81
"Kyrgyzstan",2014,6,"Investment growth",14.97
"Kyrgyzstan",2014,6,"Government expenditure billion currency units",18.32
"Kyrgyzstan",2014,9,"GDP billion currency units",116.88
"Kyrgyzstan",2014,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2014,9,"Household consumption billion currency units",116.26
"Kyrgyzstan",2014,9,"Consumption as percent of GDP",99.47
"Kyrgyzstan",2014,9,"Consumption growth",7.95
"Kyrgyzstan",2014,9,"Investment billion currency units",34.56
"Kyrgyzstan",2014,9,"Investment as percent of GDP",29.57
"Kyrgyzstan",2014,9,"Investment growth",17.95
"Kyrgyzstan",2014,9,"Government expenditure billion currency units",16.21
"Kyrgyzstan",2014,12,"GDP billion currency units",130.05
"Kyrgyzstan",2014,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2014,12,"Household consumption billion currency units",114.13
"Kyrgyzstan",2014,12,"Consumption as percent of GDP",87.76
"Kyrgyzstan",2014,12,"Consumption growth",23.22
"Kyrgyzstan",2014,12,"Investment billion currency units",50.35
"Kyrgyzstan",2014,12,"Investment as percent of GDP",38.72
"Kyrgyzstan",2014,12,"Investment growth",32.58
"Kyrgyzstan",2014,12,"Government expenditure billion currency units",22.7
"Kyrgyzstan",2015,3,"GDP billion currency units",80.78
"Kyrgyzstan",2015,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2015,3,"Household consumption billion currency units",77.34
"Kyrgyzstan",2015,3,"Consumption as percent of GDP",95.75
"Kyrgyzstan",2015,3,"Consumption growth",7.92
"Kyrgyzstan",2015,3,"Investment billion currency units",22.3
"Kyrgyzstan",2015,3,"Investment as percent of GDP",27.6
"Kyrgyzstan",2015,3,"Investment growth",15.51
"Kyrgyzstan",2015,3,"Government expenditure billion currency units",13.56
"Kyrgyzstan",2015,6,"GDP billion currency units",94.09
"Kyrgyzstan",2015,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2015,6,"Household consumption billion currency units",83.1
"Kyrgyzstan",2015,6,"Consumption as percent of GDP",88.32
"Kyrgyzstan",2015,6,"Consumption growth",0.61
"Kyrgyzstan",2015,6,"Investment billion currency units",26.48
"Kyrgyzstan",2015,6,"Investment as percent of GDP",28.14
"Kyrgyzstan",2015,6,"Investment growth",1.91
"Kyrgyzstan",2015,6,"Government expenditure billion currency units",20.83
"Kyrgyzstan",2015,9,"GDP billion currency units",123.45
"Kyrgyzstan",2015,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2015,9,"Household consumption billion currency units",117.29
"Kyrgyzstan",2015,9,"Consumption as percent of GDP",95.01
"Kyrgyzstan",2015,9,"Consumption growth",0.88
"Kyrgyzstan",2015,9,"Investment billion currency units",36.31
"Kyrgyzstan",2015,9,"Investment as percent of GDP",29.41
"Kyrgyzstan",2015,9,"Investment growth",5.08
"Kyrgyzstan",2015,9,"Government expenditure billion currency units",16.79
"Kyrgyzstan",2015,12,"GDP billion currency units",132.17
"Kyrgyzstan",2015,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2015,12,"Household consumption billion currency units",112.06
"Kyrgyzstan",2015,12,"Consumption as percent of GDP",84.78
"Kyrgyzstan",2015,12,"Consumption growth",-1.82
"Kyrgyzstan",2015,12,"Investment billion currency units",55.2
"Kyrgyzstan",2015,12,"Investment as percent of GDP",41.77
"Kyrgyzstan",2015,12,"Investment growth",9.64
"Kyrgyzstan",2015,12,"Government expenditure billion currency units",25.26
"Kyrgyzstan",2016,3,"GDP billion currency units",79.6
"Kyrgyzstan",2016,3,"Retail sales Y-on-Y",5.2
"Kyrgyzstan",2016,3,"Household consumption billion currency units",76.5
"Kyrgyzstan",2016,3,"Consumption as percent of GDP",96.1
"Kyrgyzstan",2016,3,"Consumption growth",-1.1
"Kyrgyzstan",2016,3,"Investment billion currency units",22.41
"Kyrgyzstan",2016,3,"Investment as percent of GDP",28.15
"Kyrgyzstan",2016,3,"Investment growth",0.49
"Kyrgyzstan",2016,3,"Government expenditure billion currency units",15.03
"Kyrgyzstan",2016,6,"GDP billion currency units",101.1
"Kyrgyzstan",2016,6,"Retail sales Y-on-Y",5.7
"Kyrgyzstan",2016,6,"Household consumption billion currency units",89.59
"Kyrgyzstan",2016,6,"Consumption as percent of GDP",88.61
"Kyrgyzstan",2016,6,"Consumption growth",7.8
"Kyrgyzstan",2016,6,"Investment billion currency units",29.5
"Kyrgyzstan",2016,6,"Investment as percent of GDP",29.18
"Kyrgyzstan",2016,6,"Investment growth",11.42
"Kyrgyzstan",2016,6,"Government expenditure billion currency units",24.42
"Kyrgyzstan",2016,9,"GDP billion currency units",134.73
"Kyrgyzstan",2016,9,"Retail sales Y-on-Y",19.4
"Kyrgyzstan",2016,9,"Household consumption billion currency units",117.85
"Kyrgyzstan",2016,9,"Consumption as percent of GDP",87.47
"Kyrgyzstan",2016,9,"Consumption growth",0.48
"Kyrgyzstan",2016,9,"Investment billion currency units",39.48
"Kyrgyzstan",2016,9,"Investment as percent of GDP",29.3
"Kyrgyzstan",2016,9,"Investment growth",8.72
"Kyrgyzstan",2016,9,"Government expenditure billion currency units",17.96
"Kyrgyzstan",2016,12,"GDP billion currency units",142.6
"Kyrgyzstan",2016,12,"Retail sales Y-on-Y",8.8
"Kyrgyzstan",2016,12,"Household consumption billion currency units",110.47
"Kyrgyzstan",2016,12,"Consumption as percent of GDP",77.47
"Kyrgyzstan",2016,12,"Consumption growth",-1.42
"Kyrgyzstan",2016,12,"Investment billion currency units",55.63
"Kyrgyzstan",2016,12,"Investment as percent of GDP",39.01
"Kyrgyzstan",2016,12,"Investment growth",0.76
"Kyrgyzstan",2016,12,"Government expenditure billion currency units",26.46
"Kyrgyzstan",2017,3,"GDP billion currency units",90.75
"Kyrgyzstan",2017,3,"Retail sales Y-on-Y",4.8
"Kyrgyzstan",2017,3,"Household consumption billion currency units",79.2
"Kyrgyzstan",2017,3,"Consumption as percent of GDP",87.28
"Kyrgyzstan",2017,3,"Consumption growth",3.54
"Kyrgyzstan",2017,3,"Investment billion currency units",18.52
"Kyrgyzstan",2017,3,"Investment as percent of GDP",20.41
"Kyrgyzstan",2017,3,"Investment growth",-17.34
"Kyrgyzstan",2017,3,"Government expenditure billion currency units",16.14
"Kyrgyzstan",2017,6,"GDP billion currency units",113.61
"Kyrgyzstan",2017,6,"Retail sales Y-on-Y",4.7
"Kyrgyzstan",2017,6,"Household consumption billion currency units",94.71
"Kyrgyzstan",2017,6,"Consumption as percent of GDP",83.36
"Kyrgyzstan",2017,6,"Consumption growth",5.72
"Kyrgyzstan",2017,6,"Investment billion currency units",31.8
"Kyrgyzstan",2017,6,"Investment as percent of GDP",27.99
"Kyrgyzstan",2017,6,"Investment growth",7.78
"Kyrgyzstan",2017,6,"Government expenditure billion currency units",25.61
"Kyrgyzstan",2017,9,"GDP billion currency units",147.78
"Kyrgyzstan",2017,9,"Retail sales Y-on-Y",4.5
"Kyrgyzstan",2017,9,"Household consumption billion currency units",128.89
"Kyrgyzstan",2017,9,"Consumption as percent of GDP",87.22
"Kyrgyzstan",2017,9,"Consumption growth",9.37
"Kyrgyzstan",2017,9,"Investment billion currency units",35.08
"Kyrgyzstan",2017,9,"Investment as percent of GDP",23.74
"Kyrgyzstan",2017,9,"Investment growth",-11.14
"Kyrgyzstan",2017,9,"Government expenditure billion currency units",19.63
"Kyrgyzstan",2017,12,"GDP billion currency units",168.81
"Kyrgyzstan",2017,12,"Retail sales Y-on-Y",8.7
"Kyrgyzstan",2017,12,"Household consumption billion currency units",119.84
"Kyrgyzstan",2017,12,"Consumption as percent of GDP",70.99
"Kyrgyzstan",2017,12,"Consumption growth",8.48
"Kyrgyzstan",2017,12,"Investment billion currency units",70.33
"Kyrgyzstan",2017,12,"Investment as percent of GDP",41.66
"Kyrgyzstan",2017,12,"Investment growth",26.43
"Kyrgyzstan",2017,12,"Government expenditure billion currency units",29.1
"Kyrgyzstan",2018,3,"GDP billion currency units",105.15
"Kyrgyzstan",2018,3,"Retail sales Y-on-Y",3.2
"Kyrgyzstan",2018,3,"Household consumption billion currency units",89.54
"Kyrgyzstan",2018,3,"Consumption as percent of GDP",85.16
"Kyrgyzstan",2018,3,"Consumption growth",13.06
"Kyrgyzstan",2018,3,"Investment billion currency units",23.08
"Kyrgyzstan",2018,3,"Investment as percent of GDP",21.95
"Kyrgyzstan",2018,3,"Investment growth",24.6
"Kyrgyzstan",2018,3,"Government expenditure billion currency units",19.33
"Kyrgyzstan",2018,6,"GDP billion currency units",123.37
"Kyrgyzstan",2018,6,"Retail sales Y-on-Y",2.4
"Kyrgyzstan",2018,6,"Household consumption billion currency units",106.98
"Kyrgyzstan",2018,6,"Consumption as percent of GDP",86.71
"Kyrgyzstan",2018,6,"Consumption growth",12.95
"Kyrgyzstan",2018,6,"Investment billion currency units",34.04
"Kyrgyzstan",2018,6,"Investment as percent of GDP",27.59
"Kyrgyzstan",2018,6,"Investment growth",7.06
"Kyrgyzstan",2018,6,"Government expenditure billion currency units",26.62
"Kyrgyzstan",2018,9,"GDP billion currency units",159.39
"Kyrgyzstan",2018,9,"Retail sales Y-on-Y",5.7
"Kyrgyzstan",2018,9,"Household consumption billion currency units",140.95
"Kyrgyzstan",2018,9,"Consumption as percent of GDP",88.43
"Kyrgyzstan",2018,9,"Consumption growth",9.35
"Kyrgyzstan",2018,9,"Investment billion currency units",45.81
"Kyrgyzstan",2018,9,"Investment as percent of GDP",28.74
"Kyrgyzstan",2018,9,"Investment growth",30.58
"Kyrgyzstan",2018,9,"Government expenditure billion currency units",21.44
"Kyrgyzstan",2018,12,"GDP billion currency units",181.48
"Kyrgyzstan",2018,12,"Retail sales Y-on-Y",11.7
"Kyrgyzstan",2018,12,"Household consumption billion currency units",132.19
"Kyrgyzstan",2018,12,"Consumption as percent of GDP",72.84
"Kyrgyzstan",2018,12,"Consumption growth",10.31
"Kyrgyzstan",2018,12,"Investment billion currency units",77.29
"Kyrgyzstan",2018,12,"Investment as percent of GDP",42.59
"Kyrgyzstan",2018,12,"Investment growth",9.9
"Kyrgyzstan",2018,12,"Government expenditure billion currency units",30.37
"Kyrgyzstan",2019,3,"GDP billion currency units",111.64
"Kyrgyzstan",2019,3,"Retail sales Y-on-Y",3.9
"Kyrgyzstan",2019,3,"Household consumption billion currency units",89.23
"Kyrgyzstan",2019,3,"Consumption as percent of GDP",79.93
"Kyrgyzstan",2019,3,"Consumption growth",-0.35
"Kyrgyzstan",2019,3,"Investment billion currency units",23.27
"Kyrgyzstan",2019,3,"Investment as percent of GDP",20.85
"Kyrgyzstan",2019,3,"Investment growth",0.86
"Kyrgyzstan",2019,3,"Government expenditure billion currency units",19.65
"Kyrgyzstan",2019,6,"GDP billion currency units",134.04
"Kyrgyzstan",2019,6,"Retail sales Y-on-Y",4.1
"Kyrgyzstan",2019,6,"Household consumption billion currency units",108.46
"Kyrgyzstan",2019,6,"Consumption as percent of GDP",80.92
"Kyrgyzstan",2019,6,"Consumption growth",1.38
"Kyrgyzstan",2019,6,"Investment billion currency units",36.52
"Kyrgyzstan",2019,6,"Investment as percent of GDP",27.25
"Kyrgyzstan",2019,6,"Investment growth",7.29
"Kyrgyzstan",2019,6,"Government expenditure billion currency units",27.9
"Kyrgyzstan",2019,9,"GDP billion currency units",175.52
"Kyrgyzstan",2019,9,"Retail sales Y-on-Y",2
"Kyrgyzstan",2019,9,"Household consumption billion currency units",142.92
"Kyrgyzstan",2019,9,"Consumption as percent of GDP",81.43
"Kyrgyzstan",2019,9,"Consumption growth",1.4
"Kyrgyzstan",2019,9,"Investment billion currency units",48.67
"Kyrgyzstan",2019,9,"Investment as percent of GDP",27.73
"Kyrgyzstan",2019,9,"Investment growth",6.25
"Kyrgyzstan",2019,9,"Government expenditure billion currency units",22.98
"Kyrgyzstan",2019,12,"GDP billion currency units",197.91
"Kyrgyzstan",2019,12,"Retail sales Y-on-Y",6.2
"Kyrgyzstan",2019,12,"Household consumption billion currency units",132.14
"Kyrgyzstan",2019,12,"Consumption as percent of GDP",66.77
"Kyrgyzstan",2019,12,"Consumption growth",-0.04
"Kyrgyzstan",2019,12,"Investment billion currency units",86.3
"Kyrgyzstan",2019,12,"Investment as percent of GDP",43.61
"Kyrgyzstan",2019,12,"Investment growth",11.66
"Kyrgyzstan",2019,12,"Government expenditure billion currency units",30.98
"Kyrgyzstan",2020,3,"GDP billion currency units",117.15
"Kyrgyzstan",2020,3,"Retail sales Y-on-Y",4.7
"Kyrgyzstan",2020,3,"Household consumption billion currency units",97.24
"Kyrgyzstan",2020,3,"Consumption as percent of GDP",83
"Kyrgyzstan",2020,3,"Consumption growth",8.97
"Kyrgyzstan",2020,3,"Investment billion currency units",23.74
"Kyrgyzstan",2020,3,"Investment as percent of GDP",20.26
"Kyrgyzstan",2020,3,"Investment growth",1.98
"Kyrgyzstan",2020,3,"Government expenditure billion currency units",23.74
"Kyrgyzstan",2020,6,"GDP billion currency units",122.73
"Kyrgyzstan",2020,6,"Retail sales Y-on-Y",-17.3
"Kyrgyzstan",2020,6,"Household consumption billion currency units",85.94
"Kyrgyzstan",2020,6,"Consumption as percent of GDP",70.03
"Kyrgyzstan",2020,6,"Consumption growth",-20.76
"Kyrgyzstan",2020,6,"Investment billion currency units",30.23
"Kyrgyzstan",2020,6,"Investment as percent of GDP",24.63
"Kyrgyzstan",2020,6,"Investment growth",-17.24
"Kyrgyzstan",2020,6,"Government expenditure billion currency units",30.35
"Kyrgyzstan",2020,9,"GDP billion currency units",173.41
"Kyrgyzstan",2020,9,"Retail sales Y-on-Y",-12.5
"Kyrgyzstan",2020,9,"Household consumption billion currency units",143.08
"Kyrgyzstan",2020,9,"Consumption as percent of GDP",82.51
"Kyrgyzstan",2020,9,"Consumption growth",0.11
"Kyrgyzstan",2020,9,"Investment billion currency units",46.13
"Kyrgyzstan",2020,9,"Investment as percent of GDP",26.6
"Kyrgyzstan",2020,9,"Investment growth",-5.23
"Kyrgyzstan",2020,9,"Government expenditure billion currency units",26.68
"Kyrgyzstan",2020,12,"GDP billion currency units",188.53
"Kyrgyzstan",2020,12,"Retail sales Y-on-Y",-18.8
"Kyrgyzstan",2020,12,"Household consumption billion currency units",126.1
"Kyrgyzstan",2020,12,"Consumption as percent of GDP",66.88
"Kyrgyzstan",2020,12,"Consumption growth",-4.58
"Kyrgyzstan",2020,12,"Investment billion currency units",64.62
"Kyrgyzstan",2020,12,"Investment as percent of GDP",34.28
"Kyrgyzstan",2020,12,"Investment growth",-25.12
"Kyrgyzstan",2020,12,"Government expenditure billion currency units",35.31
"Kyrgyzstan",2021,3,"GDP billion currency units",125.57
"Kyrgyzstan",2021,3,"Retail sales Y-on-Y",6.8
"Kyrgyzstan",2021,3,"Household consumption billion currency units",123.1
"Kyrgyzstan",2021,3,"Consumption as percent of GDP",98.04
"Kyrgyzstan",2021,3,"Consumption growth",26.6
"Kyrgyzstan",2021,3,"Investment billion currency units",21.34
"Kyrgyzstan",2021,3,"Investment as percent of GDP",16.99
"Kyrgyzstan",2021,3,"Investment growth",-10.12
"Kyrgyzstan",2021,3,"Government expenditure billion currency units",25.23
"Kyrgyzstan",2021,6,"GDP billion currency units",161.32
"Kyrgyzstan",2021,6,"Retail sales Y-on-Y",-2.5
"Kyrgyzstan",2021,6,"Household consumption billion currency units",129.55
"Kyrgyzstan",2021,6,"Consumption as percent of GDP",80.31
"Kyrgyzstan",2021,6,"Consumption growth",50.74
"Kyrgyzstan",2021,6,"Investment billion currency units",39.23
"Kyrgyzstan",2021,6,"Investment as percent of GDP",24.32
"Kyrgyzstan",2021,6,"Investment growth",29.8
"Kyrgyzstan",2021,6,"Government expenditure billion currency units",32.22
